success,collision,timeout,battery_dead,path_length_m,straight_line_m,path_efficiency,energy_j,energy_per_meter_j,flight_time_s,final_goal_distance_m,min_clearance_m,episode,return_goal,return_energy,return_safety,w_goal,w_energy,w_safety
True,False,False,False,47.1863121391853,41.65733595589718,0.8828266941697136,666.2186937021585,14.118897271247127,4.4,2.5200891730087838,4.8140136784643754,0,86.9372467828884,-17.793246612022752,-10.001308348935524,0.8,0.1,0.1
True,False,False,False,44.727995052736325,43.27180437724276,0.9674434171758279,516.1818759779346,11.54046532533669,3.8000000000000003,2.634902432529902,6.105500751782724,1,88.73690194471286,-13.78609081785688,-9.782151661978933,0.8,0.1,0.1
True,False,False,False,55.98990907063851,53.57908125095902,0.9569417443304307,623.7227811372784,11.139914164717993,4.4,2.3080896848066605,4.8277034823174105,2,99.07099156615236,-16.658273577765765,-13.0,0.8,0.1,0.1
True,False,False,False,53.09991035080332,52.09025932997661,0.9809858243798064,580.1894567359494,10.92637356453036,4.4,2.9014170417097853,7.691043355259843,3,96.98884228826682,-15.4955935385588,-10.000018034580503,0.8,0.1,0.1
True,False,False,False,52.74035173957578,46.62669452187111,0.8840800825923,594.9359236686039,11.28046939478734,4.6000000000000005,2.7770547810781347,2.8809771359415763,4,91.54963974079295,-15.889439471236974,-11.415673643362105,0.8,0.1,0.1
True,False,False,False,55.00175181025194,45.191634239612334,0.821639906952726,835.5751262166432,15.191791146930303,4.800000000000001,2.575097099075708,5.651622470218712,5,90.21653714053662,-22.316387132618516,-8.8393858287326,0.8,0.1,0.1
True,False,False,False,45.794334976988324,44.38330475613762,0.9691876687026955,646.6738308965604,14.121262623892546,4.2,2.1213778713878915,6.771341419444616,6,90.16192688474973,-17.27124600293502,-0.2351658191762674,0.8,0.1,0.1
True,False,False,False,44.97162749052604,40.9016091738334,0.9094980870427682,627.3494746297699,13.949894847855589,4.0,2.2414160985910576,5.929851359305745,7,86.66019307524235,-16.755134642020085,-1.0801428831750162,0.8,0.1,0.1
True,False,False,False,55.278487156702475,47.22079295475341,0.8542345383095009,840.2342119875592,15.200021838616498,4.6000000000000005,2.409433934668894,10.714121734596814,8,92.51135902008451,-22.44082114038826,-3.195547917512485,0.8,0.1,0.1
True,False,False,False,49.14585777623446,48.19338008583773,0.9806193699022725,741.942846998764,15.096752413538024,4.0,2.0166423910669575,6.862198314167534,9,94.17673769477076,-19.8156734019493,-2.0,0.8,0.1,0.1
True,False,False,False,59.83554029431377,57.219112341654906,0.9562730119960576,530.0661321238865,8.858717235887635,4.2,2.331511809414126,7.149221658975939,10,102.78760053224077,-14.156908983070151,-7.231705588548326,0.8,0.1,0.1
True,False,False,False,61.09040493421121,56.60847746661054,0.9266345104042558,645.4601227702318,10.565654679574205,5.2,2.119727005578049,10.656547200471739,11,101.88875046103249,-17.238830509027498,-15.0,0.8,0.1,0.1
False,True,False,False,29.254477177276197,53.15443489055534,1.8169675215335503,263.82572161023984,9.018302395613139,2.6,28.316773422188096,0.45171036096301,12,23.537661468367247,-7.046208957481625,-56.89316924192569,0.8,0.1,0.1
True,False,False,False,60.791416639924435,58.12684060469862,0.9561685484151743,780.6412790924041,12.841307576631175,4.6000000000000005,1.6508452192889556,2.555951688682171,13,104.17599538540966,-20.849224024665073,-13.598708178060424,0.8,0.1,0.1
True,False,False,False,50.740153786476085,45.78453248680056,0.9023333409565589,551.1999861878096,10.863191083483127,4.4,2.397394489227312,9.584760799387672,14,91.18713799757325,-14.721348079085661,-10.050552181188406,0.8,0.1,0.1
True,False,False,False,43.86650610213175,40.87781135481005,0.9318684113942582,592.2811663286531,13.501899717057027,4.2,2.795247406571154,1.558439577478497,15,85.9825639482389,-15.818536699382388,-4.542678678911086,0.8,0.1,0.1
True,False,False,False,78.83381654043652,67.64766528882743,0.8581046593644069,1007.1607067640093,12.775744610149665,5.800000000000001,1.992247599483061,8.035992920933158,16,112.75541768934437,-26.899063329800228,-12.745993009050594,0.8,0.1,0.1
True,False,False,False,63.36562633421761,50.5338241782832,0.797495852274008,908.2143572496,14.332918488949927,5.800000000000001,1.9568239670331335,9.252154596584713,17,95.67700021125006,-24.256422384848953,-11.949691319685416,0.8,0.1,0.1
True,False,False,False,50.74268515593564,43.29231506050357,0.8531735151079098,919.6016849667109,18.122842378969775,5.0,2.458119942216872,7.90647727452705,18,88.33419511828669,-24.560553043802003,-0.16884753320450316,0.8,0.1,0.1
True,False,False,False,61.125705524812055,54.19547466235409,0.8866232986113369,757.3064840799003,12.389329130483338,5.0,2.40475971316277,8.199897128196964,19,99.29071494919131,-20.226002601694766,-12.0,0.8,0.1,0.1
True,False,False,False,48.697888579696404,42.947990753814494,0.8819271637111755,596.221016884368,12.243262167488517,4.2,2.9905418520046254,4.72422308668963,20,87.85744890180987,-15.923761505013095,-3.0010358345114083,0.8,0.1,0.1
True,False,False,False,49.93652636132178,42.46816803115647,0.8504429748251391,716.685121024857,14.351921794463538,4.0,1.6588672708684424,4.448124778568247,21,88.80930076028802,-19.14109469174346,-0.008841045720549896,0.8,0.1,0.1
True,False,False,False,50.22120899328293,46.90548429826503,0.9339776010676809,828.5598729112693,16.49820642553804,4.6000000000000005,2.241610942784307,5.321319324092006,22,92.36387335548072,-22.12902503472439,-0.21136623146446365,0.8,0.1,0.1
True,False,False,False,44.948071277508475,42.16630944223505,0.9381116529316934,612.2354328749227,13.620950031314884,4.0,2.218743542013133,6.381925131259359,23,87.94756590022192,-16.351471588445325,-8.49650386483064,0.8,0.1,0.1
True,False,False,False,58.25873846454433,55.012776840937946,0.9442836953020903,549.3357874901254,9.429242753418794,4.2,2.0970372671160464,8.41113923736343,24,100.8157395738219,-14.671559402371445,-9.019621907982614,0.8,0.1,0.1
True,False,False,False,61.60545355349607,55.524708321608735,0.901295341870878,672.9203464763758,10.923064561030053,4.4,2.919919457999978,3.0328063711984106,25,100.40478886360876,-17.972233124480333,-3.1080880234046395,0.8,0.1,0.1
True,False,False,False,64.76737772824573,53.1044882659872,0.819926483496147,940.381994499364,14.519377308203936,5.4,2.819282493311764,9.068440446467637,26,97.58520577267542,-25.115549737356158,-3.307286045210679,0.8,0.1,0.1
True,False,False,False,55.98139024838934,43.930851568248116,0.7847402748185959,714.0460664663839,12.755061339101488,4.6000000000000005,2.824962913389113,5.918425869031773,27,88.80588865485899,-19.070611306894936,-4.0,0.8,0.1,0.1
True,False,False,False,57.01821488087626,54.194149494550906,0.9504708207328929,552.1291888859243,9.683382582906972,4.4,2.3509045079960047,9.592928366057343,28,99.64324498655489,-14.746165054226715,-11.126230712910717,0.8,0.1,0.1
True,False,False,False,45.34187853432289,43.25013029019791,0.9538671905148004,590.3935751271842,13.020933278718662,3.6,1.3561605123672065,8.275550267436703,29,90.0939697778307,-15.768123259969904,-4.0,0.8,0.1,0.1
False,True,False,False,51.56894769889232,47.39720284773036,0.9191035489899755,574.0041693379076,11.13081020558108,4.6000000000000005,4.447444327246009,-0.2663915666533865,30,40.649758520484355,-15.33039801780868,-63.25722885192725,0.8,0.1,0.1
True,False,False,False,41.607867779384996,40.34840801352905,0.9697302497562743,507.4970955601304,12.1971425753178,3.6,2.177604444463191,8.837629247106133,31,86.37080356906586,-13.55413929622284,-10.0,0.8,0.1,0.1
True,False,False,False,56.15488833785871,49.62588553501568,0.8837322449372358,704.4535352353645,12.544830131207535,4.6000000000000005,1.95249769406477,3.043290535532081,32,95.3733878409509,-18.814415743125057,-9.776869911615284,0.8,0.1,0.1
True,False,False,False,51.90739150214375,40.77550186046324,0.7855432661989811,864.6833394718313,16.658192878679337,4.800000000000001,1.6049656669605887,15.454945761345332,33,86.77053619350264,-23.093803950520748,-5.084377355884889,0.8,0.1,0.1
True,False,False,False,65.28376449701605,62.47273993650946,0.9569414450566025,879.2465378808041,13.468073488945205,4.4,2.7716437272528363,9.383125824856645,34,107.50109620925663,-23.48275518110047,-5.1381603270913905,0.8,0.1,0.1
True,False,False,False,44.65336060748487,40.65192792905234,0.9103889914668192,419.72723548650686,9.39967854101784,3.8000000000000003,2.156169894904735,6.976789743809516,35,86.59575803414761,-11.209997980231945,-8.038543465102029,0.8,0.1,0.1
True,False,False,False,63.29427133831316,53.52239121332396,0.8456119342498204,821.2084177069654,12.97445093123101,5.0,2.6058554755360857,12.317279262217527,36,98.41653573778785,-21.93268371821084,-6.127897247035145,0.8,0.1,0.1
False,True,False,False,42.81433292200782,47.46071916814645,1.1085240836194425,367.4993540801138,8.583559032662363,3.2,12.964963352086448,0.3056643092583484,37,32.89575581605999,-9.815105308092544,-56.84928044901509,0.8,0.1,0.1
True,False,False,False,51.54800209197979,41.011777582577274,0.7956036299796415,807.6420083613709,15.667765492060258,5.0,2.924999433811918,6.613034365438932,38,85.58677814876535,-21.570354547012695,-9.048011449575714,0.8,0.1,0.1
True,False,False,False,52.580560927911236,45.208638318786825,0.8597975662672859,818.7491455171544,15.571327712529962,4.800000000000001,1.876384552514941,17.37295578889444,39,90.93225376627188,-21.867001927872245,-9.239718927577355,0.8,0.1,0.1
True,False,False,False,56.14340038718569,53.90764939620493,0.9601778485883969,786.5108864854036,14.0089642070365,3.8000000000000003,2.6987037207505282,1.7875577957192479,40,99.3089456754544,-21.00598842177172,-1.0622057616024136,0.8,0.1,0.1
True,False,False,False,47.256801932207175,42.88589191401104,0.9075072827724043,698.2926052823909,14.776552300008264,4.2,2.2346778738915822,4.935951515940161,41,88.55121404011945,-18.64987075654792,-10.0,0.8,0.1,0.1
True,False,False,False,42.09048462685917,40.6467938333128,0.9657003047994104,597.4590951780976,14.19463568725083,3.6,2.5160526183966607,11.404368819043501,42,86.33074121491613,-15.956827872879336,-1.9009773017486562,0.8,0.1,0.1
True,False,False,False,48.77878345066253,40.484811734521124,0.8299676390139912,543.983211465125,11.152045479267409,4.0,1.9807922629764803,6.808943065168474,43,86.50401947154464,-14.52860378415967,-5.071576213808408,0.8,0.1,0.1
False,True,False,False,15.07206209732613,55.56847557898929,3.6868528818526736,167.6769650340649,11.125018192687232,1.6,45.94260678302429,0.3095141217515156,44,8.825868795965006,-4.478285611331783,-52.72941439330958,0.8,0.1,0.1
True,False,False,False,66.16386288827958,60.252963417115915,0.9106627211119087,715.8890103473843,10.81993975406473,5.0,2.299434909419968,5.211007225834704,45,105.45352850769594,-19.11983231386568,-12.0,0.8,0.1,0.1
True,False,False,False,41.03671866888678,40.60170608324904,0.9893994305649113,615.8413542343674,15.007080834201444,3.8000000000000003,2.732103309436126,5.818761870366042,46,85.96960277381291,-16.44777787438218,-3.1916761949854426,0.8,0.1,0.1
True,False,False,False,62.279923033900104,55.941355806066504,0.8982245494365271,804.3351754993903,12.914838945153736,5.0,2.685532119199807,12.263908873644704,47,100.75582368686669,-21.48203626177967,-12.0,0.8,0.1,0.1
True,False,False,False,57.39738550690492,53.682285204097795,0.9352740500286342,670.7797191914793,11.686590134158365,4.0,2.5111121762583406,4.2676356500090735,48,99.17117302783944,-17.915061643786913,-8.529292484469707,0.8,0.1,0.1
True,False,False,False,53.86577557164373,43.91594846901575,0.8152848075232056,892.228156305087,16.563915525886866,5.800000000000001,2.7618485667491024,7.063441011131189,49,88.25409990226666,-23.829465863688593,-4.31152702060366,0.8,0.1,0.1
True,False,False,False,64.58939007201678,52.11750251551186,0.8069050111388443,875.068620803376,13.54817904036065,5.0,2.856617234061751,11.410738921093541,50,96.7608852814501,-23.37117213849601,-4.0131678219897235,0.8,0.1,0.1
True,False,False,False,53.536388936952704,47.96838578440178,0.8959959148700131,593.4539808281012,11.085058081279708,4.800000000000001,2.316524441706588,12.369767874984147,51,93.25186134269518,-15.849860013807675,-11.0,0.8,0.1,0.1
False,True,False,False,22.18530341154472,43.143834264641306,1.9447033680048862,253.9018168046141,11.444595194154047,2.4000000000000004,28.398622283615577,0.44536225065738755,52,13.54521198102573,-6.781163129092311,-57.57100684006432,0.8,0.1,0.1
True,False,False,False,55.12259137917738,53.88898409457356,0.9776206587219733,544.9056979597699,9.885342548783159,4.0,2.257165695405172,13.095604542468545,53,99.63181839916838,-14.553241384170958,-10.13146592539108,0.8,0.1,0.1
True,False,False,False,51.95776840729411,46.13125128197925,0.8878605201123899,706.2847277804666,13.5934384680254,4.4,1.4180446403425198,12.403942801862165,54,92.51320664163673,-18.86332289757315,-8.0,0.8,0.1,0.1
True,False,False,False,48.727411895748595,44.07080972875039,0.9044356762275633,644.6627742980114,13.229981836040372,4.4,2.8281055840560527,7.386528065511504,55,89.04270414469434,-17.217535072354746,-6.000008984386409,0.8,0.1,0.1
False,True,False,False,45.0941189534078,47.895953766486244,1.0621330425808597,642.1592797616571,14.24042191455497,3.8000000000000003,9.339715982103778,0.2762541861204668,56,36.65623778438246,-17.150672199700022,-56.414071792172386,0.8,0.1,0.1
True,False,False,False,64.87438753693941,55.63733888435187,0.857616402970618,704.9060899429029,10.865707048741386,5.0,1.666767717414755,4.845271870297646,57,101.4705711669371,-18.826502491204597,-8.60868912514483,0.8,0.1,0.1
False,True,False,False,43.71100587037686,55.242517990443886,1.2638125545374828,432.4859346721244,9.894211447676202,3.6,21.27910724505458,0.3995246512801063,58,32.1634107453893,-11.55075497670224,-52.78443472318952,0.8,0.1,0.1
True,False,False,False,52.65968522664169,49.42253823004986,0.9385270348149729,514.6227133876682,9.772612790463649,4.4,2.9045432909922395,8.348657798267313,59,94.31799493905763,-13.744448989521674,-17.673293674021554,0.8,0.1,0.1
True,False,False,False,67.02139611085438,64.58062049194844,0.963582143008945,941.4598521521696,14.04715369693256,4.6000000000000005,2.484247186402703,9.005754247316382,60,109.79637330554573,-25.14433696174707,-6.0,0.8,0.1,0.1
True,False,False,False,44.805956922209525,44.53776047169375,0.9940142679916109,408.682905696411,9.12117347266908,3.8000000000000003,2.8911711469459926,11.632532293558482,61,89.74658932474776,-10.915028046969256,-17.415692939503728,0.8,0.1,0.1
True,False,False,False,52.12499809784674,45.15720433892606,0.8663252947109744,584.8014191713522,11.219212288000257,4.6000000000000005,2.5587284976248696,16.162805957216854,62,90.29847584130118,-15.618768984931364,-9.0,0.8,0.1,0.1
True,False,False,False,46.60160959065938,43.60846520317,0.9357716522287395,578.930277761824,12.422967422092265,4.0,2.636147353544719,9.451094096557721,63,88.97231784962527,-15.46196361759278,-6.006875158795767,0.8,0.1,0.1
True,False,False,False,52.14008519966306,46.73945896383569,0.8964208398366355,718.8372953250081,13.786653638411265,3.8000000000000003,2.4664744469578643,9.977149670064733,64,92.3729845168778,-19.198574568001288,-5.0,0.8,0.1,0.1
True,False,False,False,47.28347329974734,44.15886442303776,0.9339175263859841,522.8607315769448,11.058001772888767,4.2,2.9007212327819474,8.060611304893307,65,89.1581431902558,-13.964468467542595,-7.36842794559313,0.8,0.1,0.1
True,False,False,False,48.575480382719576,46.857377201816135,0.9646302379849516,446.4966581290152,9.191811477954083,4.0,1.7977448482659317,10.028495315273124,66,93.0596323535502,-11.924950807647745,-13.0,0.8,0.1,0.1
True,False,False,False,60.011333738873624,54.08774533027121,0.901292172002415,734.6672169999625,12.242141129485782,4.4,2.7548479429672055,4.70851646889467,67,99.13289738730398,-19.62135721110945,-8.0,0.8,0.1,0.1
True,False,False,False,56.50002376212265,48.46414406666852,0.8577721006050028,715.205147139068,12.65849285568864,5.2,2.983548373696984,10.13213473649362,68,92.88059569297153,-19.10156782079534,-15.277685385180813,0.8,0.1,0.1
True,False,False,False,61.112408893637976,56.72212061554726,0.9281604447022909,658.1172392131978,10.768962492684691,4.4,1.3535604681459763,6.859379917165642,69,103.16856014740128,-17.576874452248735,-6.0,0.8,0.1,0.1
True,False,False,False,48.86927797198173,43.121423234698675,0.8823830640473452,806.9245594882702,16.511898537786973,4.6000000000000005,1.9756622735094893,4.577244100715135,70,88.84576096118919,-21.551193054170664,-8.0,0.8,0.1,0.1
True,False,False,False,46.233128347566605,40.53225663004073,0.8766929273167834,614.9579944700639,13.301241262477344,4.0,1.9138800861657592,8.986884291999228,71,86.61837654387497,-16.42418526390461,-4.3059010213781805,0.8,0.1,0.1
True,False,False,False,63.20124249625286,54.63579885482245,0.8644734928757414,814.0635929582485,12.880499825719621,4.800000000000001,1.9833252528475303,7.072263674111559,72,100.2524736019749,-21.74186104998586,-7.0,0.8,0.1,0.1
False,True,False,False,7.2252727305046225,50.286583047042,6.959817978183077,115.79888091043387,16.026921782694604,1.0,45.70084295729257,-0.49925773656782524,73,4.085740089749429,-3.092735260828254,-53.24613082410934,0.8,0.1,0.1
True,False,False,False,49.92246941218433,44.86217936275614,0.8986370243898001,621.6702121071834,12.452713566197417,4.2,2.0494531525079025,9.467432658384265,74,90.71272621024823,-16.603453940781797,-7.0,0.8,0.1,0.1
True,False,False,False,59.95484868496422,56.00021711790565,0.9340398374143453,578.474798744099,9.648507358991496,4.2,2.8267084024657314,4.05371601240797,75,101.07350871543991,-15.449798767573416,-8.170054293436946,0.8,0.1,0.1
True,False,False,False,54.841089579177925,40.402266297004815,0.7367152368239006,741.3738749857704,13.51858397917855,5.0,2.7040966964759496,8.89806689639504,76,85.19816960052887,-19.80047740183967,-0.04689323245124208,0.8,0.1,0.1
True,False,False,False,44.752221244315834,40.73692471497124,0.9102771568047118,446.94968403834895,9.987206704183826,4.0,2.751554805353933,6.3634750070876915,77,85.9853699096173,-11.937050140498371,-8.0,0.8,0.1,0.1
True,False,False,False,51.3911461573328,46.336602175230894,0.9016456265320969,580.3383638439819,11.29257483511439,4.800000000000001,2.2231986674191577,2.957567370739099,78,91.71340350781173,-15.499570522273833,-10.518280419214184,0.8,0.1,0.1
True,False,False,False,52.88937594478421,47.90719475242067,0.9057999625942861,586.5217188806619,11.0895942408733,4.6000000000000005,2.7384848973855624,8.165782415071362,79,92.86870985503509,-15.664714433871323,-10.0,0.8,0.1,0.1
True,False,False,False,46.16162361261656,41.03950993523332,0.8890395684439639,692.2143481265877,14.995450635263111,4.4,2.9177351689898665,4.737825150690808,80,85.92177476624344,-18.487533779866137,-6.0,0.8,0.1,0.1
True,False,False,False,50.02853157861082,40.67054991841706,0.8129471050836385,664.3573552276148,13.279569363008326,4.6000000000000005,2.3897833853729926,1.4178143723703749,81,85.98076653304406,-17.74353432562328,-10.48277831937185,0.8,0.1,0.1
True,False,False,False,45.2323665412877,42.52451025296366,0.9401345431295898,555.7092922859994,12.285655931328574,4.2,2.7266548942036923,0.9043526220439362,82,87.69785535875997,-14.841781798842643,-10.92799632974311,0.8,0.1,0.1
True,False,False,False,56.932458472295764,52.92388378238395,0.9295906975128705,721.2030760842571,12.667695993406046,4.0,2.8014250994769445,9.71425296674075,83,98.122458682907,-19.26175940636926,-4.3444207011705345,0.8,0.1,0.1
True,False,False,False,52.64138896767379,48.55382595302851,0.9223507757905972,707.1382243112452,13.433122457036365,4.0,1.9532410385953418,8.335377738617876,84,94.60058491443316,-18.88611792629,-9.648426207541974,0.8,0.1,0.1
True,False,False,False,39.11086233897811,40.278022987138975,1.0298423654800797,422.94333091278537,10.813960767397287,3.0,2.7922352533758303,5.2521119132651055,85,85.98578773376315,-11.295892866683683,-3.0,0.8,0.1,0.1
True,False,False,False,55.89884712177401,51.51166133490733,0.9215156302363566,605.7452456348485,10.836453287046334,4.800000000000001,2.5393497654331703,8.026472585273167,86,96.57231156947415,-16.17813285866709,-12.459121973391014,0.8,0.1,0.1
True,False,False,False,41.41720784669951,40.99963407249609,0.9899178675745354,537.1050222576919,12.968161065944312,3.4000000000000004,2.7058943316043873,10.060463908178129,87,86.5937397408917,-14.344902369040375,-2.0,0.8,0.1,0.1
True,False,False,False,42.32114682549763,41.73458288595151,0.9861401690751744,473.13766155926635,11.179698497069332,3.6,1.6728159342801854,1.6065174921756133,88,88.26176695167132,-12.63647383830909,-11.008437093275516,0.8,0.1,0.1
True,False,False,False,45.22940505643122,42.650088554975426,0.9429725750706279,561.759075932624,12.420218113232663,4.2,2.626961571156678,13.021212267281165,89,87.92312698381875,-15.00335831026653,-9.0,0.8,0.1,0.1
True,False,False,False,46.267379885364896,42.031484798771785,0.9084474829331541,681.1355281701219,14.72172251503647,4.2,2.8551825233726946,6.132864825882763,90,87.07630227539909,-18.1916426895694,-9.0,0.8,0.1,0.1
True,False,False,False,48.229584934190484,46.12066263805205,0.9562732646566197,556.2207157293486,11.532770113786272,4.0,2.389844487081352,12.06259887329957,91,91.73081815097069,-14.855440802315085,-11.569881064214947,0.8,0.1,0.1
False,True,False,False,5.997616273811944,59.21258879630216,9.872687096513435,125.10387518538549,20.85893286165045,1.0,54.92001247899974,-0.3912002613381804,92,3.7925763173024194,-3.3412513403420663,-53.597776721917434,0.8,0.1,0.1
True,False,False,False,60.20104022536499,54.64793063153734,0.9077572484953854,708.1580765358485,11.76321993581557,5.0,2.802862852169885,14.863360170367955,93,99.34506777936745,-18.913355952349214,-18.76000684802654,0.8,0.1,0.1
True,False,False,False,43.723318414740575,42.22417904923591,0.9657130469539279,463.2462924298709,10.59494817012094,4.0,2.8940218998634664,8.401857675812373,94,87.33015714937244,-12.372296966789834,-11.050043823812015,0.8,0.1,0.1
True,False,False,False,56.349666019725625,49.70717801241873,0.8821201885210528,619.3479328131549,10.991155344138996,4.6000000000000005,2.0762908907032487,7.5013015516721,95,95.33088712171545,-16.541430931563873,-9.0,0.8,0.1,0.1
