success,collision,timeout,battery_dead,path_length_m,straight_line_m,path_efficiency,energy_j,energy_per_meter_j,flight_time_s,final_goal_distance_m,min_clearance_m,episode,return_goal,return_energy,return_safety
True,False,False,False,48.8819238612666,49.8690727507536,1.0201945588780152,1043.7307634781798,21.35208029946666,7.0,1.3910513787667436,9.448358105995613,0,97.77802137198687,-27.875769693464367,-1.8726718311409603
True,False,False,False,52.929214086818384,48.14828387505324,0.9096731305338652,1291.7489169206742,24.40521627247011,8.6,1.9855031855244087,6.710024829572749,1,95.30278068952883,-34.499793021206216,-6.160836016526795
True,False,False,False,67.36432573156857,64.19864830630337,0.9530066189947525,1390.696877371293,20.644411745660488,9.4,1.7919228425282263,12.617345419931183,2,111.46672546377512,-37.14247699074615,-2.4722225420203925
True,False,False,False,49.551635359252764,49.708524415759825,1.003166173131716,1047.9797987025954,21.149247468921455,7.4,1.8876581848608582,8.08485833842876,3,97.08086623089898,-27.989252146487498,0.0
False,True,False,False,29.7688325322849,47.06878637671081,1.581143174683245,564.8952399090193,18.97606294423468,4.4,18.249593227277735,0.2858456816271495,4,28.379193149433082,-15.0871184022232,-58.610951491197234
False,True,False,False,5.787776795524192,41.77354633574361,7.217546185963488,285.18163996893713,49.273088794556486,1.4000000000000001,36.42532094068504,-0.11629912743650017,5,5.2082253950585695,-7.616578905930424,-54.031810438637535
False,True,False,False,14.85425280505608,45.04340973859658,3.0323578257174093,334.2777210665951,22.503839503311397,2.6,31.096120014474092,0.09115893643988349,6,13.68728972412249,-8.927828030148245,-54.02760547877542
True,False,False,False,48.96204501107008,48.3714210227356,0.987937105400705,1018.6586441991474,20.8050673530657,7.2,1.552079672649565,8.22831130787798,7,96.09934135008605,-27.206148132804113,-2.29869027992418
True,False,False,False,44.700800624836575,42.883203367608935,0.9593385972550624,886.4772176594457,19.831349892353,6.4,1.222313070676069,8.360623418306695,8,91.02089029693288,-23.675870849709213,-3.5009340244757374
True,False,False,False,59.770401161046635,58.79955982150789,0.9837571553698814,1211.2931021893605,20.26576831776027,8.200000000000001,1.6701584183806846,5.1963025885026894,9,106.30940140312721,-32.3509938859999,-1.5715320233747492
True,False,False,False,43.652428680330836,44.81344146879137,1.0265967512818748,1051.5443697390674,24.08902325777989,6.4,1.952095546851644,10.273666204719003,10,92.22134592193973,-28.084454055586704,-2.373016787166029
False,True,False,False,25.936303197574272,42.812725343117876,1.6506872632149825,731.4292007155326,28.20098127106798,4.2,17.341764921259447,0.37736971357993543,11,25.050960421858434,-19.53487686640096,-52.76526366892043
True,False,False,False,47.37857786754288,44.30672688704612,0.9351637149370589,1005.3426108560466,21.21934967458712,7.0,1.6092858553626577,10.029706435164595,12,91.99744103168346,-26.850505957933464,-0.16552129867269796
True,False,False,False,50.62227134117246,48.93318242487594,0.9666334822293376,941.1097943987521,18.590825134180065,7.2,1.323832577122837,6.6255436285307105,13,96.8893498477531,-25.134987683508722,0.0
True,False,False,False,45.55972656551877,45.39081302551022,0.9962924812604913,931.1465216133618,20.437930422481653,6.800000000000001,1.423598785267443,9.36815136448011,14,93.28721424024278,-24.86889042234036,0.0
True,False,False,False,47.14149398171868,48.18061224897993,1.0220425400108069,1052.9653188730313,22.3362738414987,7.0,1.785923504110992,9.917791354412369,15,95.69468874486893,-28.122404504294853,-1.0611620357511713
True,False,False,False,53.68144787334236,52.38858307660577,0.9759159849826142,1203.7776686331208,22.424463503170603,8.200000000000001,1.1999833141096008,6.652058653911654,16,100.36859976249616,-32.150273065754895,-4.9892455866830305
True,False,False,False,52.40255533946258,50.85454815358569,0.970459318713583,1108.9425962774526,21.16199466025554,7.6000000000000005,1.4795132012956365,5.071452409122733,17,98.61503495229006,-29.617435356689036,-1.7050600216026177
