success,collision,timeout,battery_dead,path_length_m,straight_line_m,path_efficiency,energy_j,energy_per_meter_j,flight_time_s,final_goal_distance_m,min_clearance_m,episode,return_goal,return_energy,return_safety
True,False,False,False,55.58915842873536,49.8690727507536,0.8971006966166822,817.6104372867304,14.708091656665342,4.4,2.4886662257011074,8.35640398268016,0,95.18040652505249,-21.836589517421135,-0.23697531130152438
True,False,False,False,53.90913776604462,48.14828387505324,0.8931377104194768,651.581627908969,12.08666387388181,4.4,2.747768395577654,5.876842829164168,1,93.20051547947558,-17.402322544900947,-11.048935204197829
True,False,False,False,66.61793385279324,64.19864830630337,0.9636841702140476,794.4065669823316,11.92481545191337,4.2,2.791416309220316,12.66670237418429,2,109.30723199708305,-21.216864807528587,-5.764512688104883
True,False,False,False,55.09015402563716,49.708524415759825,0.9023123150577342,761.6401611285918,13.825340927058386,4.800000000000001,2.24771216061299,8.670884167030316,3,95.06081225514683,-20.341745653027857,-0.0003069479366741214
False,True,False,False,34.605674659894994,47.06878637671081,1.3601464742214517,352.2466250903482,10.17886888645381,3.0,14.363068816830694,-0.2746467070551204,4,31.20571755988011,-9.407738221298393,-57.15682996541639
True,False,False,False,49.4784620480548,41.77354633574361,0.8442773806342653,804.7628848307817,16.264913085802355,4.0,2.985531211858601,17.284571120358,5,86.788015123885,-21.49345944411251,-5.043119666505937
True,False,False,False,45.52145081118993,45.04340973859658,0.9894985536692112,458.0434542600927,10.062145342421687,3.6,2.485720400308169,8.644017435538291,6,90.7576893382884,-12.233340519736585,-1.925989721190786
True,False,False,False,51.443305614841776,48.3714210227356,0.9402860186492388,537.6867957839635,10.452026543738217,4.4,2.158903334354309,10.456006505707059,7,94.0125176883813,-14.3604402696174,-11.0
False,True,False,False,13.994898750912554,42.883203367608935,3.0642024734057247,148.94047283155479,10.642483056323858,1.4000000000000001,31.599542434893856,-0.1368147687981276,8,10.58366093271508,-3.9778748159653183,-52.61033349975214
True,False,False,False,65.19321953634802,58.79955982150789,0.9019275354045769,803.8425711441647,12.330156063177519,5.0,2.0006652639011873,3.7220872997359544,9,104.2988945576067,-21.468879875059297,-11.514818685913717
True,False,False,False,45.37785407747527,44.81344146879137,0.9875619369809718,706.6483869951859,15.572538661451448,4.0,1.9962368303067894,6.702123220366681,10,90.81720463848457,-18.873035441143905,-3.039041149316954
True,False,False,False,49.64167707860586,42.812725343117876,0.8624351122409789,841.9591284910559,16.960730943030853,4.4,2.0802813518826304,9.695778970587579,11,88.53244399123523,-22.486889893820116,-6.5501091059355705
True,False,False,False,53.849450831931414,44.30672688704612,0.8227888344735599,892.0308370903488,16.565272687263807,5.0,2.5765170578830614,11.949183649304153,12,89.23020982916304,-23.824195898311885,-0.22333701638552034
True,False,False,False,53.010173019079105,48.93318242487594,0.9230904114812868,484.53830803195166,9.14047776938135,4.0,1.9111382531035688,5.138655193626509,13,95.02204417177236,-12.940960212141865,-9.0
True,False,False,False,46.39692504796945,45.39081302551022,0.9783151141714884,524.6378860316652,11.30760035259332,4.0,2.301604413011629,9.69495622677466,14,91.0892086124986,-14.011932382589428,-8.0
True,False,False,False,54.020407181450665,48.18061224897993,0.8918965028742696,736.9237268856847,13.641580382954368,4.6000000000000005,2.836505662702523,9.172025236381366,15,93.0441065862774,-19.681623663039833,-7.0
True,False,False,False,54.605610008948915,52.38858307660577,0.9593992827480581,657.4534399119893,12.040034710797006,4.0,2.2735142217962836,8.025519203076044,16,98.11506885480948,-17.559145822327448,-7.114152992265934
True,False,False,False,51.59117808551907,50.85454815358569,0.9857217850169593,748.0253088234128,14.499093383435902,4.2,2.7425954302308613,5.58305325988521,17,96.01195272335482,-19.97812267615501,-0.06469668494158093
True,False,False,False,67.24183276885603,59.165092753609635,0.8798851892837275,787.2699161846318,11.70803774624755,4.800000000000001,1.7397295742352188,9.510076123060081,18,105.02536317937441,-21.026260447687363,-3.7496440205604116
True,False,False,False,63.06460492521009,59.80603959791634,0.9483297274095641,580.3475957808091,9.202429738029089,4.2,2.596885526587659,8.741738873536233,19,105.10915407132867,-15.499817087148438,-6.036942737077537
True,False,False,False,49.74490121687612,49.07402499560053,0.9865136686401139,599.5496006674767,12.052483490791968,4.0,2.1315096062277217,5.870022202312477,20,94.9425153893728,-16.012660709856043,-0.009664638123065759
False,True,False,False,7.633537181274619,45.7865532653256,5.998078240535974,114.85283868570541,15.04582161038583,1.0,39.593267941189794,0.18627896686618084,21,5.6932853241358075,-3.06746853870066,-52.461905427290645
