success,collision,timeout,battery_dead,path_length_m,straight_line_m,path_efficiency,energy_j,energy_per_meter_j,flight_time_s,final_goal_distance_m,min_clearance_m,episode,return_goal,return_energy,return_safety
True,False,False,False,49.70495944129399,49.8690727507536,1.0033017491876932,1069.986913958568,21.526763646640102,7.2,1.5171967329245641,13.949883733202025,0,97.63187601782904,-9.525671380722015,-0.0003128839517292087
True,False,False,False,47.17283431868042,48.14828387505324,1.0206782053794579,1044.0519102031262,22.132482079621028,7.0,1.8539213232097909,5.267580521580449,1,95.59436255184346,-9.294782273753272,-0.9280889782437528
False,True,False,False,22.451737648935246,64.19864830630337,2.8594066664300226,582.9869456985476,25.966228307776227,3.6,43.34651369938297,0.47606699857957224,2,20.492134606920406,-5.190102786799343,-50.882422535765286
False,True,False,False,36.24477348793769,49.708524415759825,1.3714673767323415,756.5063745670845,20.872150706607417,5.6000000000000005,13.926846705940623,0.389404848120805,3,35.221677709819204,-6.734877807885491,-51.78460346988391
True,False,False,False,45.862783134999,47.06878637671081,1.0262959018025988,849.2235205373781,18.516615488372206,6.6000000000000005,1.5746092657262096,14.428447394921037,4,94.8341771109846,-7.560301981162487,-0.0036156814025856
False,True,False,False,5.977958266046761,41.77354633574361,6.987928733629077,296.938092011848,49.67215875332866,1.4000000000000001,36.49391519202204,-0.28851822548862227,5,5.139631143721573,-2.6435226898793522,-51.89890098013509
True,False,False,False,44.95404533335453,45.04340973859658,1.0019879057508478,843.8267199943244,18.770873983352747,6.6000000000000005,1.6476950560538364,14.926783788444501,6,92.73571468254275,-7.5122563949877526,0.0
True,False,False,False,47.56817001022145,48.3714210227356,1.0168863131026808,974.4974599688534,20.486334869713367,7.2,1.710038167255751,15.882390202967104,7,95.94138285547986,-8.675566442835063,0.0
True,False,False,False,41.7960616475132,42.883203367608935,1.0260106258159953,817.9863254343583,19.570894797046677,6.2,1.6657768389925178,5.211502884010725,8,90.59742652861641,-7.282209556362616,0.0
True,False,False,False,58.87865035369546,58.79955982150789,0.9986567196817104,1137.3702958469314,19.31719373685585,8.200000000000001,1.6480806990509203,14.309647971213536,9,106.33147912245695,-10.125559046652006,0.0
True,False,False,False,43.452234988989495,44.81344146879137,1.0313265009302006,1027.7086357928945,23.651456272693657,6.4,1.9950096916404276,17.114410688125396,10,92.17843177715095,-9.149284549168147,0.0
True,False,False,False,42.032462344323534,42.812725343117876,1.0185633425994067,1047.2008292742732,24.91409664976949,6.0,1.6504553886125437,11.910643489459552,11,90.56226995450534,-9.322815857982137,0.0
True,False,False,False,43.76893121949982,44.30672688704612,1.012287155581873,921.1419525933653,21.045566499530622,6.4,1.3443663919071986,16.171912081850675,12,92.32236049513892,-8.200563409638836,0.0
True,False,False,False,52.44606159081201,48.93318242487594,0.933019199928799,1380.096325861817,26.31458462275831,10.0,1.9647352824150486,6.423517605645156,13,95.9684471424609,-12.28645313545448,-5.075847388093639
True,False,False,False,45.78812917920985,45.39081302551022,0.9913227257627283,914.5352327290047,19.973194998852467,6.800000000000001,1.8518691871561206,10.850465387623874,14,92.85894383835411,-8.141746389064675,-4.0
True,False,False,False,47.29292626851725,48.18061224897993,1.018769952517267,1009.609503391571,21.34800239805979,7.0,1.5503567251047943,18.96472877274626,15,95.93025552387513,-8.988155113581556,0.0
True,False,False,False,53.59330634499504,52.38858307660577,0.9775210124071441,1142.28267817332,21.313905710913378,7.6000000000000005,1.6880933814502896,15.208308528379384,16,99.94048969515548,-10.169292048548757,-0.964805755147859
True,False,False,False,51.75657027634116,50.85454815358569,0.9825718335287801,1174.7952473439414,22.69847559587929,7.6000000000000005,1.8936344026754173,6.3970067781693825,17,98.20091375091027,-10.458738625532153,0.0
True,False,False,False,58.70566765155572,59.165092753609635,1.0078259071131055,1076.966903088231,18.34519470045906,8.200000000000001,1.8335845216123663,22.69854252768406,18,106.51150823199725,-9.587811470308898,0.0
True,False,False,False,59.166956629973036,59.80603959791634,1.010801349339972,1039.0348091049177,17.561065640117093,8.200000000000001,1.844314370106398,10.906276830790514,19,107.14172522780994,-9.250117001943003,0.0
False,True,False,False,42.18817472688836,49.07402499560053,1.163217544093547,873.0926409819073,20.69519827852252,6.4,11.728695677801003,0.2923020382002255,20,36.70532931779954,-7.772799344013658,-51.29771981344008
True,False,False,False,45.55829810284598,45.7865532653256,1.0050101775523823,943.6551785279881,20.713134990199272,6.800000000000001,1.727950968956048,6.5820885420703075,21,93.37860229636955,-8.400989778574292,-0.35393899964740805
True,False,False,False,41.8605977419688,42.935400982671005,1.0256757738465025,866.0444205600916,20.688773387767668,6.4,1.9425265437711035,8.341833946678502,22,90.3528744388999,-7.710051818150258,0.0
True,False,False,False,50.398371974026325,50.77800043191405,1.0075325539897078,1059.0277724274872,21.013134570562627,7.2,1.7412965523791064,10.98678574383563,23,98.31670387953494,-9.428106467097336,0.0
False,True,False,False,41.6042551333124,66.09939899979331,1.588765350755378,938.1460208958698,22.5492805456983,5.800000000000001,25.665042172661668,-0.25185996650179066,24,39.85435682713164,-8.351943921560954,-52.8988834568919
True,False,False,False,40.96348809014772,41.515312012521285,1.0134711165504064,813.3490899772353,19.85546465641086,6.2,1.537923809736323,10.776153827215648,25,89.35738820278496,-7.240926078496369,0.0
True,False,False,False,46.33842964897794,45.757427239702245,0.9874617587674659,889.5794701132572,19.197445335372475,6.800000000000001,1.7184993789476817,7.327692808165985,26,93.35892786075456,-7.9195750796479665,0.0
True,False,False,False,47.80832081039281,48.52223335837999,1.0149328095169574,1141.9360110404998,23.885716789121364,6.800000000000001,1.5417977029495777,11.054777760473987,27,96.30043565543042,-10.166205807826875,0.0
True,False,False,False,53.856977659110825,51.090511346138555,0.948633093923638,1165.6750486223111,21.643900183194134,8.200000000000001,1.9728365508849284,4.651814795746211,28,98.29767479525363,-10.377545094269488,-0.644541020175326
True,False,False,False,50.04322579040853,50.28505425370785,1.004832391587068,957.6158162847854,19.135773147308296,7.2,1.5805018756292442,5.913192147541833,29,97.9845523780786,-8.52527582899388,0.0
True,False,False,False,43.17749714236301,42.848218320860184,0.9923738325911495,880.0063820170617,20.38113462472227,6.6000000000000005,1.4956926100224484,7.20403908568995,30,90.69252571083774,-7.834349652950275,0.0
True,False,False,False,49.354848007899975,49.5421357312058,1.0037947178618776,1104.5662460338056,22.38009619352902,7.4,1.3807292328227077,8.834135911671419,31,97.4214064983831,-9.833517532498714,-1.1791119141663005
True,False,False,False,50.345797735588256,50.30475965201496,0.9991848756913372,1014.264591394365,20.145963258367544,7.4,1.395050131387587,8.614522109055304,32,98.16970952062738,-9.029597525619012,-1.7027317380939957
True,False,False,False,44.26844038041739,44.86632995121517,1.0135060003392906,881.0438892197999,19.902302445006374,6.6000000000000005,1.389438945644265,8.79640037709598,33,92.81689100557091,-7.843586170275385,0.0
True,False,False,False,42.094251168037424,42.25791271732537,1.003887978637145,777.5615071190434,18.47191684239898,6.2,1.5241870846181875,9.32966439683504,34,90.11372563270717,-6.922323346658942,0.0
True,False,False,False,46.33174051758207,45.07773991771262,0.9729343084058416,841.4603986015346,18.161640145640877,6.6000000000000005,1.901951988507997,12.905866039762827,35,92.5157879292046,-7.491189969151296,-0.7253727335736524
True,False,False,False,52.35737209322691,50.81309440735921,0.9705050573753401,1137.131130517116,21.718644100249225,7.800000000000001,1.9038546550534166,8.380520531228411,36,98.12923975230579,-10.12342985207237,0.0
True,False,False,False,52.223464380526536,52.10354480486623,0.9977037223194059,1054.9266320911129,20.200242259004202,7.800000000000001,1.4516516550653749,14.247975942358547,37,99.87189314980085,-9.39159563259938,-0.7337155804428188
False,False,True,False,84.01106995306628,52.737873812126644,0.6277491030835489,13396.125896976644,159.45667522697352,80.0,3.770727730223791,2.935599964583837,38,35.967146081902875,-119.26042403385937,-3.4909577970863217
True,False,False,False,40.28626143984428,40.497285264354026,1.0052381088978646,913.9898864670446,22.687384080844048,6.4,1.4965700149867647,5.504646956337513,39,88.36071524936727,-8.136891386435796,0.0
True,False,False,False,46.67429636250566,46.050733523663645,0.9866401234204157,995.3334825843417,21.325088113891994,7.4,1.8019054971657646,13.069848657083533,40,93.50882802649787,-8.86106133228389,-0.9189758600038972
True,False,False,False,42.130821789127864,42.046726892466545,0.9980039578368011,864.0396735759927,20.508493233307018,6.2,1.6451299659377716,9.117410851529103,41,89.78159692652878,-7.69220434663178,0.0
